area_profissional,subcluster,cluster,nome_cluster,qtd_vagas,percentual_base
Recursos Humanos / Pessoas,2,82,Recursos Humanos / Pessoas — Finanças e operações,177977,13.2
Design / UX / UI,4,44,Design / UX / UI — Engineer / Manager / Senior,110287,8.18
Recursos Humanos / Pessoas,0,80,Recursos Humanos / Pessoas — Vendas e CRM,100693,7.47
Educação / Treinamento,2,62,Educação / Treinamento — Nurse / Registered / Assistant,99072,7.35
Atendimento / Suporte,1,91,Atendimento / Suporte — Vendas e CRM,87726,6.51
Recursos Humanos / Pessoas,4,84,Recursos Humanos / Pessoas — DevOps e Containers,87441,6.48
Design / UX / UI,0,40,Design / UX / UI — DevOps e Containers,51304,3.8
Atendimento / Suporte,0,90,Atendimento / Suporte — Vendas e CRM,50186,3.72
Finanças / Operações,2,72,Finanças / Operações — DevOps e Containers,47428,3.52
Educação / Treinamento,0,60,Educação / Treinamento — Ensino e treinamento,42233,3.13
Design / UX / UI,1,41,Design / UX / UI — DevOps e Containers,40236,2.98
Marketing / Conteúdo / Vendas,2,32,Marketing / Conteúdo / Vendas — DevOps e Containers,39856,2.96
Outros / Multidisciplinar,0,100,Outros / Multidisciplinar — Manager / Nurse / Senior,39216,2.91
Atendimento / Suporte,2,92,Atendimento / Suporte — Vendas e CRM,38971,2.89
Recursos Humanos / Pessoas,1,81,Recursos Humanos / Pessoas — DevOps e Containers,35341,2.62
Produto / Projeto / Gestão,0,50,Produto / Projeto / Gestão — Vendas e CRM,32533,2.41
Cloud / DevOps / Infraestrutura,1,21,Cloud / DevOps / Infraestrutura — Engineer / Senior / Manager,32019,2.37
Data / BI / Analytics,1,1,Data / BI / Analytics — Dados e SQL,23504,1.74
Educação / Treinamento,1,61,Educação / Treinamento — DevOps e Containers,19378,1.44
Recursos Humanos / Pessoas,3,83,Recursos Humanos / Pessoas — Travel / Week / Technologist,19244,1.43
Marketing / Conteúdo / Vendas,1,31,Marketing / Conteúdo / Vendas — Vendas e CRM,16507,1.22
Desenvolvimento de Software,0,10,Desenvolvimento de Software — Backend e APIs,15267,1.13
Cloud / DevOps / Infraestrutura,2,22,Cloud / DevOps / Infraestrutura — Engineer / Senior / Software,14757,1.09
Desenvolvimento de Software,2,12,Desenvolvimento de Software — Backend e APIs,14370,1.07
Marketing / Conteúdo / Vendas,3,33,Marketing / Conteúdo / Vendas — Marketing digital,14176,1.05
Data / BI / Analytics,2,2,Data / BI / Analytics — Dados e SQL,12279,0.91
Atendimento / Suporte,3,93,Atendimento / Suporte — Vendas e CRM,11856,0.88
Finanças / Operações,0,70,Finanças / Operações — DevOps e Containers,11130,0.83
Design / UX / UI,2,42,Design / UX / UI — DevOps e Containers,10610,0.79
Design / UX / UI,3,43,Design / UX / UI — DevOps e Containers,10296,0.76
Educação / Treinamento,3,63,Educação / Treinamento — DevOps e Containers,10270,0.76
Finanças / Operações,1,71,Finanças / Operações — DevOps e Containers,8898,0.66
Produto / Projeto / Gestão,2,52,Produto / Projeto / Gestão — Gestão ágil,8431,0.63
Desenvolvimento de Software,1,11,Desenvolvimento de Software — Backend e APIs,3938,0.29
Marketing / Conteúdo / Vendas,0,30,Marketing / Conteúdo / Vendas — Marketing digital,3784,0.28
Data / BI / Analytics,0,0,Data / BI / Analytics — Dados e SQL,2963,0.22
Cloud / DevOps / Infraestrutura,0,20,Cloud / DevOps / Infraestrutura — Dados e SQL,2590,0.19
Produto / Projeto / Gestão,1,51,Produto / Projeto / Gestão — Gestão ágil,1616,0.12
Finanças / Operações,3,73,Finanças / Operações — DevOps e Containers,1,0.0
